Umwana muto yiruka yerekeza kuri kamera muri parike	The little boy runs towards the camera in the park
Umukobwa ukiri muto ugenda kumuhanda	A young girl walks down the street
Umwana wiruka kumuhanda	A child running down the street
Imbwa mu gace k'umucanga hamwe n'umucanga yazamuye mu kirere n'ibimera byinshi inyuma	Dogs in the sand area with sand raised in the air with many plants in the back
Imbwa yijimye izana umukungugu iyo yiruka mu murima	A dark dog brings dust when it runs into a field
Imbwa n'umucanga bihuha mu muyaga	Dogs and sand whisper in the wind
Imbwa n'umuyaga	Dogs and wind
Imbwa itera umwanda	The dog is dirty
Umugore ahagaze iruhande rw'umuhanda aho imodoka ziri mumuhanda zijimye	A woman stands by the side of the road where cars are on the dark road
Umugore ahagarara imbere ya pizzeria mugihe ibinyabiziga bimusakuza	A woman stands in front of a pizzeria while vehicles scream at her
Umugore ahagaze kumuhanda wo mumujyi afashe igikapu cya beige	A woman standing on the city street holding a beige bag
traffic iriyongera kurenza umugore wambaye umwenda wumuhondo	traffic is higher than a woman in a yellow dress
Umugore wambaye ishati yicyatsi ahagaze mugihe traffic irengana	A woman in a green shirt stands in traffic
Umuntu ugeze mu za bukuru ahagarara mu muhanda mu gihe cy'itumba afite amashami y'ibiti byatsi mu kuboko kumwe n'inkoni mu kuboko	An elderly man standing on the street during the winter with green branches in his hand and a stick in his hand
Umugore ukuze ufite igitambaro n'inkoni ahagarara mumuhanda wa kaburimbo	An elderly woman with a towel and a stick stands on the sidewalk
Abakecuru bageze mu zabukuru bagenda mu muhanda mu gihe cy'itumba bakoresheje inkoni	Older women walk the streets in the winter with sticks
Umugore ufite inkoni arahagaze	  A woman with a stick stands
Umugore ufite inkoni agenda	A woman with a walking stick
Umugabo wambaye ishati yumukara hamwe na jans bigaragara ko akora kuri sisitemu zimwe	A man wearing a black shirt and jeans appears to be working on some systems
Umugabo areba kamera mugihe yicaye munzu irimo akajagari	A man looks at a camera while sitting in a chaotic house
Umugabo wambaye ishati yumukara yicaye hasi atunganya igare	A man in a black shirt is sitting on the floor repairing a bicycle
